move_id,total_distance,total_duration,rank_by_distance,rank_by_duration
188,107.49966093616246,0 days 00:02:18,452,470
332,106.86358736958971,0 days 00:03:04,453,281
326,103.3820028280704,0 days 00:03:09,454,226
308,102.57108241839053,0 days 00:03:13,455,176
498,101.31336036241134,0 days 00:03:14,456,161
337,100.7300880880546,0 days 00:03:02,457,300
562,99.2445701514816,0 days 00:02:59,458,316
409,98.11488973812251,0 days 00:03:13,459,176
339,97.3379200194883,0 days 00:03:08,460,241
176,97.152423747183,0 days 00:02:19,461,449
341,96.96413347398112,0 days 00:02:59,462,316
336,96.49690065216808,0 days 00:03:11,463,200
402,96.00010238196488,0 days 00:03:13,464,176
307,95.46884365398424,0 days 00:03:09,465,226
175,94.76033783911586,0 days 00:02:18,466,470
133,94.437325862671,0 days 00:02:18,467,470
241,93.41763444164533,0 days 00:02:24,468,408
156,92.17943803940366,0 days 00:02:19,469,449
232,90.32815999380331,0 days 00:02:18,470,470
563,89.45828650237704,0 days 00:02:58,471,322
381,89.3095649941594,0 days 00:03:14,472,161
361,86.28390254223135,0 days 00:03:09,473,226
2,86.13369398487193,0 days 00:02:25,474,405
161,85.79640014950225,0 days 00:02:21,475,423
343,83.82445196955251,0 days 00:03:07,476,251
384,83.19706619861248,0 days 00:03:26,477,133
348,82.5421848507134,0 days 00:03:10,478,211
131,82.40833634816394,0 days 00:02:17,479,489
395,81.86596340078478,0 days 00:03:14,480,161
23,81.80597472209185,0 days 00:00:36,481,538
122,80.35832642944159,0 days 00:03:48,482,102
169,77.48425666095693,0 days 00:02:20,483,430
142,75.15656447653355,0 days 00:02:29,484,395
414,75.00287138068596,0 days 00:03:04,485,281
582,73.32177203880086,0 days 00:02:49,486,349
118,72.304982856022,0 days 00:05:59,487,50
220,72.08361449622689,0 days 00:02:19,488,449
398,71.72933352673898,0 days 00:03:09,489,226
505,69.7810823233478,0 days 00:00:59,490,536
352,68.86633964051263,0 days 00:03:05,491,274
150,68.39419543841474,0 days 00:02:17,492,489
137,66.3463129400405,0 days 00:02:21,493,423
213,65.50412293109571,0 days 00:02:18,494,470
224,64.81498599425589,0 days 00:02:18,495,470
227,64.77195870641016,0 days 00:02:24,496,408
243,64.20035606127789,0 days 00:02:23,497,414
135,63.11261129992589,0 days 00:02:20,498,430
340,62.43597950805959,0 days 00:03:08,499,241
380,62.40232014902264,0 days 00:03:13,500,176
212,57.37312735942727,0 days 00:02:21,501,423
186,56.7795902103236,0 days 00:02:15,502,511
160,56.24167244871448,0 days 00:02:16,503,502
377,53.90478882079786,0 days 00:03:18,504,144
330,53.71855428313714,0 days 00:03:06,505,263
416,53.66905815898119,0 days 00:03:06,506,263
143,51.13236457128239,0 days 00:02:34,507,384
174,50.234326434138154,0 days 00:02:18,508,470
565,50.03976791489345,0 days 00:02:44,509,365
345,46.978885779470716,0 days 00:03:09,510,226
338,46.444011864301466,0 days 00:03:08,511,241
566,45.413922566119915,0 days 00:02:42,512,372
173,45.298110155571166,0 days 00:02:20,513,430
140,42.499891963772505,0 days 00:02:20,514,430
254,38.64297127161001,0 days 00:02:02,515,532
250,36.49457864510026,0 days 00:00:08,516,540
163,35.06670962539032,0 days 00:02:18,517,470
403,33.38369047201469,0 days 00:03:08,518,241
215,33.01649709050767,0 days 00:02:24,519,408
134,32.86822710257073,0 days 00:02:20,520,430
162,32.71459029969028,0 days 00:02:19,521,449
347,31.46864425204858,0 days 00:03:02,522,300
529,30.96494815537326,0 days 00:00:12,523,539
141,29.186964405966396,0 days 00:02:19,524,449
146,28.0161909460339,0 days 00:02:20,525,430
388,26.96061738744343,0 days 00:03:16,526,150
145,26.656292272682162,0 days 00:02:18,527,470
223,23.986595636471595,0 days 00:02:18,528,470
222,22.37573729014093,0 days 00:02:14,529,521
344,20.278963173597752,0 days 00:03:10,530,211
400,18.39642897038241,0 days 00:03:10,531,211
166,8.416984205079672,0 days 00:02:23,532,414
158,7.9903573731130715,0 days 00:02:17,533,489
538,7.1393709540047805,0 days 00:03:03,534,293
90,5.391509408598093,0 days 00:00:00,535,542
404,4.7543822667216205,0 days 00:03:10,536,211
155,3.0181362940895418,0 days 00:02:15,537,511
113,0.0,0 days 00:03:39,538,115
540,0.0,0 days 00:03:16,538,150
539,0.0,0 days 00:03:13,538,176
153,0.0,0 days 00:01:37,538,535
208,0.0,0 days 00:00:07,538,541
